"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "logOR_prior_elicitation", "variance_prior_elicitation", "Prior_qual_density", "Prior_qual_density_cumsum", "Prior_qual_density_CI", "p_Prior_qual", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "Posterior_qual_only_mean", "Posterior_qual_only_variance", "Posterior_qual_only", "Posterior_qual_only_cumsum", "Posterior_qual_only_CI", "Posterior_qual_only_quantile_0.05", "Posterior_qual_only_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant", "Posterior_QualplusQuant_cumsum", "Posterior_QualplusQuant_CI", "p_Posterior_QualplusQuant", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95", "posterior_All_mean", "posterior_All_variance", "posterior_All", "posterior_All_cumsum", "posterior_All_CI", "posterior_All_quantile_0.05", "posterior_All_quantile_0.95"
"SocialSupport", 0.011011011011011, -0.966966966966967, 2.97906711408085e-110, 0.433382295, 0.0189523150981809, 4.30109075214363e-110, "outside CI", -0.268064597507936, 3.17132122850579e-297, 3.18042771523342e-297, "outside CI", -1.16113264564944, 0.487099681967782, 0.00611382070707356, 0.074306881660007, "inside CI", 0.654911878371998, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 7.3674697324087e-291, 7.38544077733079e-291, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 4.66958691608773e-152, 6.68268665472548e-152, "outside CI", 3.89248982461316e-152, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 1.71218954158767e-147, 2.31843860077198e-147, "outside CI", 1.27673664910172e-147, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.012012012012012, -0.963963963963964, 9.65321479820006e-110, 0.433382295, 0.0189523150981809, 1.39543055503437e-109, "outside CI", -0.268064597507936, 1.08004127569233e-294, 1.08322170340756e-294, "outside CI", -1.16113264564944, 0.487099681967782, 0.00609869857225995, 0.0804055802322669, "inside CI", 0.657180740866613, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 2.94662251073991e-288, 2.95400795151724e-288, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 1.54550426086987e-151, 2.21377292634242e-151, "outside CI", 1.2905442313382e-151, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 6.52408004051513e-147, 8.84251864128711e-147, "outside CI", 4.87458294840759e-147, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.013013013013013, -0.960960960960961, 3.11926403329941e-109, 0.433382295, 0.0189523150981809, 4.51469458833378e-109, "outside CI", -0.268064597507936, 3.58704509524053e-292, 3.59787731227461e-292, "outside CI", -1.16113264564944, 0.487099681967782, 0.00608338261901653, 0.0864889628512835, "inside CI", 0.659443948485952, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 1.14699629357756e-285, 1.14995030152908e-285, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 5.10454813617672e-151, 7.31832106251913e-151, "outside CI", 4.26987303840367e-151, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 2.47925483542744e-146, 3.36350669955615e-146, "outside CI", 1.85613597676251e-146, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.014014014014014, -0.957957957957958, 1.00512665504131e-108, 0.433382295, 0.0189523150981809, 1.45659611387469e-108, "outside CI", -0.268064597507936, 1.1617954862703e-289, 1.16539336358258e-289, "outside CI", -1.16113264564944, 0.487099681967782, 0.00606787449686445, 0.0925568373481479, "inside CI", 0.661701429520272, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 4.34541137526385e-283, 4.35691087827914e-283, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 1.68244065424398e-150, 2.41427276049589e-150, "outside CI", 1.40978762541144e-150, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 9.39631365049921e-146, 1.27598203500554e-145, "outside CI", 7.04885055246535e-146, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.015015015015015, -0.954954954954955, 3.22981708738869e-108, 0.433382295, 0.0189523150981809, 4.68641320126339e-108, "outside CI", -0.268064597507936, 3.66960144473812e-287, 3.68125537837395e-287, "outside CI", -1.16113264564944, 0.487099681967782, 0.00605217587303484, 0.0986090132211827, "inside CI", 0.663953112876029, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 1.60225320688835e-280, 1.60661011776663e-280, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 5.53372481001177e-150, 7.94799757050766e-150, "outside CI", 4.64503612177909e-150, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 3.55163468999044e-145, 4.82761672499597e-145, "outside CI", 2.66970340168315e-145, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.016016016016016, -0.951951951951952, 1.03495996499168e-107, 0.433382295, 0.0189523150981809, 1.50360128511802e-107, "outside CI", -0.268064597507936, 1.13032797502828e-284, 1.13400923040665e-284, "outside CI", -1.16113264564944, 0.487099681967782, 0.00603628843217045, 0.104645301653353, "inside CI", 0.666198928082403, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 5.74993284226858e-278, 5.76599894344625e-278, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 1.81631310154244e-149, 2.61111285859321e-149, "outside CI", 1.5272888128759e-149, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 1.3388549269856e-144, 1.8216165994852e-144, "outside CI", 1.00842576095692e-144, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.017017017017017, -0.948948948948949, 3.30717866835207e-107, 0.433382295, 0.0189523150981809, 4.81077995347009e-107, "outside CI", -0.268064597507936, 3.39536462360554e-282, 3.4067047159096e-282, "outside CI", -1.16113264564944, 0.487099681967782, 0.00602021387602486, 0.110665515529378, "inside CI", 0.668438805297713, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 2.00828694563593e-275, 2.01405294457938e-275, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 5.94920900719655e-149, 8.56032186578976e-149, "outside CI", 5.01129447796815e-149, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 5.03353625284707e-144, 6.85515285233227e-144, "outside CI", 3.79892797655794e-144, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.018018018018018, -0.945945945945946, 1.05385352042393e-106, 0.433382295, 0.0189523150981809, 1.53493151577094e-106, "outside CI", -0.268064597507936, 9.94637267352025e-280, 9.98043972067935e-280, "outside CI", -1.16113264564944, 0.487099681967782, 0.0060039539231592, 0.116669469452537, "inside CI", 0.670672675315718, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 6.82684635009645e-273, 6.84698687954224e-273, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 1.94456780679821e-148, 2.80059999337719e-148, "outside CI", 1.64087447740895e-148, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 1.88732776258464e-143, 2.57284304781786e-143, "outside CI", 1.42729717796452e-143, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.019019019019019, -0.942942942942943, 3.34881632573932e-106, 0.433382295, 0.0189523150981809, 4.88374784151026e-106, "outside CI", -0.268064597507936, 2.84144595751665e-277, 2.85142639723733e-277, "outside CI", -1.16113264564944, 0.487099681967782, 0.00598751030863642, 0.122656979761174, "inside CI", 0.672900469571803, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 2.25863400179775e-270, 2.26548098867729e-270, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 6.34281887421594e-148, 9.14341886759313e-148, "outside CI", 5.36163793759012e-148, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 7.05758152912287e-143, 9.63042457694074e-143, "outside CI", 5.34815493631396e-143, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.02002002002002, -0.93993993993994, 1.06118448260493e-105, 0.433382295, 0.0189523150981809, 1.54955926675596e-105, "outside CI", -0.268064597507936, 7.91608480900333e-275, 7.9445990729757e-275, "outside CI", -1.16113264564944, 0.487099681967782, 0.00597088478371337, 0.128627864544887, "inside CI", 0.675122120149057, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 7.27282211494287e-268, 7.29547692482964e-268, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 2.06460455770459e-147, 2.9789464444639e-147, "outside CI", 1.74830137492991e-147, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 2.63207904155753e-142, 3.59512149925161e-142, "outside CI", 1.99861796416728e-142, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.021021021021021, -0.936936936936937, 3.35335041575327e-105, 0.433382295, 0.0189523150981809, 4.90290968250923e-105, "outside CI", -0.268064597507936, 2.15069012599138e-272, 2.15863472506435e-272, "outside CI", -1.16113264564944, 0.487099681967782, 0.00595407911553051, 0.134581943660418, "inside CI", 0.677337559784229, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 2.27924724802923e-265, 2.28654272495406e-265, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 6.70635914103838e-147, 9.68530558550228e-147, "outside CI", 5.6889460022111e-147, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 9.78985812628329e-142, 1.33849796255349e-141, "outside CI", 7.44889467277936e-142, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.022022022022022, -0.933933933933934, 1.05670915716053e-104, 0.433382295, 0.0189523150981809, 1.54700012541145e-104, "outside CI", -0.268064597507936, 5.69825144110517e-270, 5.71983778835582e-270, "outside CI", -1.16113264564944, 0.487099681967782, 0.00593709508679956, 0.140519038747217, "inside CI", 0.679546721873577, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 6.95202432538926e-263, 6.9748897526388e-263, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 2.17386257692836e-146, 3.14239313547859e-146, "outside CI", 1.84732805407372e-146, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 3.63151896873558e-141, 4.97001693128907e-141, "outside CI", 2.7687907016316e-141, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.023023023023023, -0.930930930930931, 3.32063000981794e-104, 0.433382295, 0.0189523150981809, 4.86763013522939e-104, "outside CI", -0.268064597507936, 1.47231840711145e-267, 1.4780382448998e-267, "outside CI", -1.16113264564944, 0.487099681967782, 0.00591993449548903, 0.146438973242706, "inside CI", 0.681749540478588, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 2.06377571269538e-260, 2.07075060244802e-260, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 7.03190053081271e-146, 1.01742936662913e-145, "outside CI", 5.98622375361786e-146, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 1.34349075946097e-140, 1.84049245258988e-140, "outside CI", 1.02641898709767e-140, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.024024024024024, -0.927927927927928, 1.04057644559638e-103, 0.433382295, 0.0189523150981809, 1.52733945911932e-103, "outside CI", -0.268064597507936, 3.70986613796181e-265, 3.72464652041081e-265, "outside CI", -1.16113264564944, 0.487099681967782, 0.00590259915450772, 0.152341572397214, "inside CI", 0.683945950331593, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 5.96272913725738e-258, 5.98343664328187e-258, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 2.26991034958965e-145, 3.28733971621878e-145, "outside CI", 1.93579149418636e-145, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 4.95696095707871e-140, 6.79745340966859e-140, "outside CI", 3.7948576440521e-140, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.025025025025025, -0.924924924924925, 3.25174123700218e-103, 0.433382295, 0.0189523150981809, 4.7790806961215e-103, "outside CI", -0.268064597507936, 9.11614243013306e-263, 9.15338889533716e-263, "outside CI", -1.16113264564944, 0.487099681967782, 0.00588509089138638, 0.1582266632886, "inside CI", 0.686135886841259, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 1.67671417574613e-255, 1.68269761238941e-255, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 7.31206502361173e-145, 1.05994047398305e-144, "outside CI", 6.24684779466502e-145, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 1.82402489154892e-139, 2.50377023251578e-139, "outside CI", 1.39927337437287e-139, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
"SocialSupport", 0.026026026026026, -0.921921921921922, 1.01331961882317e-102, 0.433382295, 0.0189523150981809, 1.49122768843532e-102, "outside CI", -0.268064597507936, 2.18454165090548e-260, 2.19369503980082e-260, "outside CI", -1.16113264564944, 0.487099681967782, 0.00586741154795741, 0.164094074836558, "inside CI", 0.688319286097961, -1.96234032422106, -0.359924967077826, -0.301511174441984, 0.0182425258874609, 4.58885527338167e-253, 4.60568224950556e-253, "outside CI", -0.33151745931273, -0.271504889571238, 0.76, 0.0657973626739291, 2.35053508543597e-144, 3.41047555941902e-144, "outside CI", 2.0116850677226e-144, 0.651772969361946, 0.868227030638054, 0.53137613113408, 0.0579671653943433, 6.69391927722627e-139, 9.19768950974205e-139, "outside CI", 5.14571737306489e-139, 0.436028628891099, 0.626723633377062, -0.0710891045050243, 0.0142826235547539, 0, 0, "outside CI", -0.0945819296614438, -0.0475962793486047
