"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "logOR_prior_elicitation", "variance_prior_elicitation", "Prior_qual_density", "Prior_qual_density_cumsum", "Prior_qual_density_CI", "p_Prior_qual", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "Posterior_qual_only_mean", "Posterior_qual_only_variance", "Posterior_qual_only", "Posterior_qual_only_cumsum", "Posterior_qual_only_CI", "Posterior_qual_only_quantile_0.05", "Posterior_qual_only_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant", "Posterior_QualplusQuant_cumsum", "Posterior_QualplusQuant_CI", "p_Posterior_QualplusQuant", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95", "posterior_All_mean", "posterior_All_variance", "posterior_All", "posterior_All_cumsum", "posterior_All_CI", "posterior_All_quantile_0.05", "posterior_All_quantile_0.95"
"SocialSupport", 0.01001001001001, -0.96996996996997, 9.1680524605979e-111, 0.433382295, 0.0189523150981809, 1.32202363806278e-110, "outside CI", -0.268064597507936, 9.08105866210244e-300, 9.1064867276368e-300, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 1.40793327687724e-152, 2.01309973863775e-152, "outside CI", 1.17159830171592e-152, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.011011011011011, -0.966966966966967, 2.97906711408085e-110, 0.433382295, 0.0189523150981809, 4.30109075214363e-110, "outside CI", -0.268064597507936, 3.17132122850579e-297, 3.18042771523342e-297, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 4.66958691608773e-152, 6.68268665472548e-152, "outside CI", 3.89248982461316e-152, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.012012012012012, -0.963963963963964, 9.65321479820006e-110, 0.433382295, 0.0189523150981809, 1.39543055503437e-109, "outside CI", -0.268064597507936, 1.08004127569233e-294, 1.08322170340756e-294, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 1.54550426086987e-151, 2.21377292634242e-151, "outside CI", 1.2905442313382e-151, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.013013013013013, -0.960960960960961, 3.11926403329941e-109, 0.433382295, 0.0189523150981809, 4.51469458833378e-109, "outside CI", -0.268064597507936, 3.58704509524053e-292, 3.59787731227461e-292, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 5.10454813617672e-151, 7.31832106251913e-151, "outside CI", 4.26987303840367e-151, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.014014014014014, -0.957957957957958, 1.00512665504131e-108, 0.433382295, 0.0189523150981809, 1.45659611387469e-108, "outside CI", -0.268064597507936, 1.1617954862703e-289, 1.16539336358258e-289, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 1.68244065424398e-150, 2.41427276049589e-150, "outside CI", 1.40978762541144e-150, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.015015015015015, -0.954954954954955, 3.22981708738869e-108, 0.433382295, 0.0189523150981809, 4.68641320126339e-108, "outside CI", -0.268064597507936, 3.66960144473812e-287, 3.68125537837395e-287, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 5.53372481001177e-150, 7.94799757050766e-150, "outside CI", 4.64503612177909e-150, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.016016016016016, -0.951951951951952, 1.03495996499168e-107, 0.433382295, 0.0189523150981809, 1.50360128511802e-107, "outside CI", -0.268064597507936, 1.13032797502828e-284, 1.13400923040665e-284, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 1.81631310154244e-149, 2.61111285859321e-149, "outside CI", 1.5272888128759e-149, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.017017017017017, -0.948948948948949, 3.30717866835207e-107, 0.433382295, 0.0189523150981809, 4.81077995347009e-107, "outside CI", -0.268064597507936, 3.39536462360554e-282, 3.4067047159096e-282, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 5.94920900719655e-149, 8.56032186578976e-149, "outside CI", 5.01129447796815e-149, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.018018018018018, -0.945945945945946, 1.05385352042393e-106, 0.433382295, 0.0189523150981809, 1.53493151577094e-106, "outside CI", -0.268064597507936, 9.94637267352025e-280, 9.98043972067935e-280, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 1.94456780679821e-148, 2.80059999337719e-148, "outside CI", 1.64087447740895e-148, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.019019019019019, -0.942942942942943, 3.34881632573932e-106, 0.433382295, 0.0189523150981809, 4.88374784151026e-106, "outside CI", -0.268064597507936, 2.84144595751665e-277, 2.85142639723733e-277, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 6.34281887421594e-148, 9.14341886759313e-148, "outside CI", 5.36163793759012e-148, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.02002002002002, -0.93993993993994, 1.06118448260493e-105, 0.433382295, 0.0189523150981809, 1.54955926675596e-105, "outside CI", -0.268064597507936, 7.91608480900333e-275, 7.9445990729757e-275, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 2.06460455770459e-147, 2.9789464444639e-147, "outside CI", 1.74830137492991e-147, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.021021021021021, -0.936936936936937, 3.35335041575327e-105, 0.433382295, 0.0189523150981809, 4.90290968250923e-105, "outside CI", -0.268064597507936, 2.15069012599138e-272, 2.15863472506435e-272, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 6.70635914103838e-147, 9.68530558550228e-147, "outside CI", 5.6889460022111e-147, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.022022022022022, -0.933933933933934, 1.05670915716053e-104, 0.433382295, 0.0189523150981809, 1.54700012541145e-104, "outside CI", -0.268064597507936, 5.69825144110517e-270, 5.71983778835582e-270, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 2.17386257692836e-146, 3.14239313547859e-146, "outside CI", 1.84732805407372e-146, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.023023023023023, -0.930930930930931, 3.32063000981794e-104, 0.433382295, 0.0189523150981809, 4.86763013522939e-104, "outside CI", -0.268064597507936, 1.47231840711145e-267, 1.4780382448998e-267, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 7.03190053081271e-146, 1.01742936662913e-145, "outside CI", 5.98622375361786e-146, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.024024024024024, -0.927927927927928, 1.04057644559638e-103, 0.433382295, 0.0189523150981809, 1.52733945911932e-103, "outside CI", -0.268064597507936, 3.70986613796181e-265, 3.72464652041081e-265, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 2.26991034958965e-145, 3.28733971621878e-145, "outside CI", 1.93579149418636e-145, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.025025025025025, -0.924924924924925, 3.25174123700218e-103, 0.433382295, 0.0189523150981809, 4.7790806961215e-103, "outside CI", -0.268064597507936, 9.11614243013306e-263, 9.15338889533716e-263, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 7.31206502361173e-145, 1.05994047398305e-144, "outside CI", 6.24684779466502e-145, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.026026026026026, -0.921921921921922, 1.01331961882317e-102, 0.433382295, 0.0189523150981809, 1.49122768843532e-102, "outside CI", -0.268064597507936, 2.18454165090548e-260, 2.19369503980082e-260, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 2.35053508543597e-144, 3.41047555941902e-144, "outside CI", 2.0116850677226e-144, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.027027027027027, -0.918918918918919, 3.14894741711903e-102, 0.433382295, 0.0189523150981809, 4.64017510555435e-102, "outside CI", -0.268064597507936, 5.1051196112363e-258, 5.1270565616343e-258, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 7.54030277550767e-144, 1.09507783349267e-143, "outside CI", 6.46481029843118e-144, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.028028028028028, -0.915915915915916, 9.75827046631708e-102, 0.433382295, 0.0189523150981809, 1.43984455718714e-101, "outside CI", -0.268064597507936, 1.16345041617638e-255, 1.16857747273802e-255, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 2.41382724832433e-143, 3.508905081817e-143, "outside CI", 2.0732339371837e-143, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.029029029029029, -0.912912912912913, 3.01556558724957e-101, 0.433382295, 0.0189523150981809, 4.45541014443672e-101, "outside CI", -0.268064597507936, 2.58574802479106e-253, 2.59743379951844e-253, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 7.71114624086199e-143, 1.1220051322679e-142, "outside CI", 6.63494868296533e-143, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.03003003003003, -0.90990990990991, 9.29294124099176e-101, 0.433382295, 0.0189523150981809, 1.37483513854285e-100, "outside CI", -0.268064597507936, 5.60429372446681e-251, 5.630268062462e-251, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 2.45825565656638e-142, 3.58026078883428e-142, "outside CI", 2.11896394630066e-142, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
"SocialSupport", 0.031031031031031, -0.906906906906907, 2.85578881707539e-100, 0.433382295, 0.0189523150981809, 4.23062395561824e-100, "outside CI", -0.268064597507936, 1.18454602861215e-248, 1.19017629667462e-248, "outside CI", 2.42829675606567, 0.0348826131243645, 0, 0, "outside CI", 0, 2.37091996335051, 2.48567354878083, 0.681175824625357, 0.0122802481067307, 0, 0, "outside CI", 0.660976613987137, 0.701375035263577, 0.76, 0.0657973626739291, 7.8204277549404e-142, 1.14006885437747e-141, "outside CI", 6.75314868263979e-142, 0.651772969361946, 0.868227030638054, 1.85028161594426, 0.0227968265641664, 0, 0, "outside CI", 0, 1.81278417308721, 1.88777905880131, 0.693573494337976, 0.0103487789947146, 0, 0, "outside CI", 0.676551267674001, 0.710595721001952
